Northing,Easting
4860507.491,1352098.064
4860505.172,1352100.346
4860502.599,1352102.834
4860500.099,1352105.239
4860497.724,1352107.572
4860495.346,1352109.825
4860494.085,1352111.106
4860486.926,1352118.024
4860478.305,1352126.423
4860468.48,1352135.899
4860466.453,1352137.918
4860456.515,1352147.588
4860445.678,1352158.09
4860435.721,1352167.7
4860427.706,1352175.51
4860425.307,1352177.831
4860423.024,1352180.017
4860421.58,1352181.4
4860418.595,1352184.377
4860417.781,1352185.142
4860397.769,1352204.532
4860396.838,1352205.489
4860393.335,1352208.886
4860386.405,1352215.564
4860380.387,1352221.453
4860374.068,1352227.562
4860366.499,1352234.88
4860358.462,1352242.687
4860351.83,1352249.146
4860345.998,1352254.787
4860341.596,1352259.106
4860333.661,1352266.758
4860325.678,1352274.549
4860324.869,1352275.347
4860324.074,1352276.085
4860322.327,1352277.757
4860312.427,1352287.36
4860303.624,1352295.962
4860295.128,1352304.18
4860284.232,1352314.727
4860275.843,1352322.919
4860265.574,1352332.892
4860264.928,1352333.475
4860257.411,1352340.822
4860248.331,1352349.621
4860238.016,1352359.63
4860233.976,1352363.562
4860223.075,1352374.144
4860215.414,1352381.549
4860209.581,1352387.224
4860209.526,1352387.247
4860201.841,1352394.723
4860194.278,1352402.058
4860185.04,1352410.989
4860175.951,1352419.877
4860164.072,1352431.351
4860156.215,1352439.007
4860153.004,1352442.123
4860151.917,1352443.204
4860141.634,1352453.185
4860141.571,1352453.252
4860133.416,1352461.153
4860123.413,1352470.885
4860115.111,1352478.875
4860106.608,1352487.182
4860098.077,1352495.472
4860089.36,1352503.923
4860079.071,1352513.882
4860071.3,1352521.443
4860066.21,1352526.384
4860059.472,1352532.868
4860053.676,1352538.555
4860047.424,1352544.63
4860040.262,1352551.571
4860035.718,1352555.973
